domain,target_version,target_column,class,samples,percent
Etiology,Microorganism target,resultado_hemo_mo,Clostridium paraputrificum,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Brachybacterium muris,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Staphylococcus saprophyticus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Eggerthella lenta,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Clostridium perfringens,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,cocobacilo anaeróbico grampositivo,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Peptoniphilus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Acinetobacter pittii,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Roseomonas mucosa,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Campylobacter jejuni,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Pasteurella multocida,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Vibrio parahaemolyticus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Campylobacter fetus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Enterococcus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Enterobacter,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Abiotrophia defectiva,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Anaerococcus vaginalis,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Arthrobacter,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Raoultella ornithinolytica,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Pantoea agglomerans,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Providencia rettgeri,1,0.0
Etiology,Clinical organism grouping,resultado_hemo,NEGATIVE,2072,53.0
Etiology,Clinical organism grouping,resultado_hemo,Escherichia coli,850,21.7
Etiology,Clinical organism grouping,resultado_hemo,Klebsiella pneumoniae,210,5.4
Etiology,Clinical organism grouping,resultado_hemo,_Other bacteria,198,5.1
Etiology,Clinical organism grouping,resultado_hemo,_Enterobacteria,176,4.5
Etiology,Clinical organism grouping,resultado_hemo,Staphylococcus aureus,171,4.4
Etiology,Clinical organism grouping,resultado_hemo,Streptococcus pneumoniae,106,2.7
Etiology,Clinical organism grouping,resultado_hemo,Pseudomonas aeruginosa,84,2.1
Etiology,Clinical organism grouping,resultado_hemo,Enterococcus,39,1.0
Etiology,Clinical organism grouping,resultado_hemo,_Fungi,7,0.2
Etiology,Gram grouped,resultado_hemo_grouped,NEGATIVE,2316,59.2
Etiology,Gram grouped,resultado_hemo_grouped,Bacilo gram-,1320,33.7
Etiology,Gram grouped,resultado_hemo_grouped,Coco gram+,277,7.1
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,NEGATIVE,3152,80.6
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a amoxicilina/clavulánico,438,11.2
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ciprofloxacino,315,8.1
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftrixona o cefotaxima,208,5.3
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftazidima,188,4.8
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a piperacilina/tazobactam,173,4.4
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a cefepima,169,4.3
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Coco Gram positivo resistente a ampicilina o penicilina,168,4.3
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Coco Gram positivo resistente a meticilina,58,1.5
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a meropenem,11,0.3
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftazidima/avibactam,4,0.1
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Bacilo Gram negativo resistente a ceftolozano/tazobactam,4,0.1
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,Coco Gram positivo resistente a vancomicina,2,0.1
Resistance,Antibiotic family labels,fenotipo_resistencia,NEGATIVE,3152,80.6
Resistance,Antibiotic family labels,fenotipo_resistencia,Penicilinas,621,15.9
Resistance,Antibiotic family labels,fenotipo_resistencia,Quinolonas,315,8.1
Resistance,Antibiotic family labels,fenotipo_resistencia,Cefalosporinas 3/4 gen,235,6.0
Resistance,Antibiotic family labels,fenotipo_resistencia,Carbapenemas,11,0.3
Resistance,Antibiotic family labels,fenotipo_resistencia,Glicopéptidos,2,0.1
Resistance,Cephalosporin yes/no,resistente_cefalosporina,NEGATIVE,3678,94.0
Resistance,Cephalosporin yes/no,resistente_cefalosporina,RESIST_CEFALOSPORINAS_3a_4a,235,6.0
