domain,target_version,target_column,samples,classes,majority_class,majority_class_count,majority_class_percent,top_classes,notes
Etiology,Microorganism target,resultado_hemo_mo,3913,101,NEGATIVE,2072,53.0,"NEGATIVE: 2,072; Escherichia coli: 850; Klebsiella pneumoniae: 210; Staphylococcus aureus: 171",Hemoculture microorganism target after clinician coinfection resolution.
Etiology,Clinical organism grouping,resultado_hemo,3913,10,NEGATIVE,2072,53.0,"NEGATIVE: 2,072; Escherichia coli: 850; Klebsiella pneumoniae: 210; _Other bacteria: 198",Configured clinical organism grouping from the preprocessing pipeline.
Etiology,Gram grouped,resultado_hemo_grouped,3913,3,NEGATIVE,2316,59.2,"NEGATIVE: 2,316; Bacilo gram-: 1,320; Coco gram+: 277","Pipeline target grouped into negative, Gram-negative bacillus, and Gram-positive coccus."
Etiology,GNB selected etiology,resultado_hemo_gnb_selected,3913,3,NEGATIVE,2072,53.0,"NEGATIVE: 2,072; GNBSelected: 1,320; other_etiology: 521","Pipeline target grouped into NEGATIVE, selected Gram-negative organisms (GNBSelected), and other_etiology."
Etiology,GNB all etiology,resultado_hemo_gnb_all,3913,3,NEGATIVE,2072,53.0,"NEGATIVE: 2,072; GNBAll: 1,352; other_etiology: 489","Pipeline target grouped into NEGATIVE, all configured Gram-negative bacilli/coccobacilli (GNBAll), and other_etiology."
Resistance,Individual phenotype labels,fenotipo_resistencia_individual,3913,13,NEGATIVE,3152,80.6,"NEGATIVE: 3,152; Bacilo Gram negativo resistente a amoxicilina/clavulánico: 438; Bacilo Gram negativo resistente a ciprofloxacino: 315; Bacilo Gram negativo resistente a ceftrixona o cefotaxima: 208",Individual resistance phenotype labels before antibiotic-family grouping; multilabel rows are counted once for each phenotype present.
Resistance,Antibiotic family labels,fenotipo_resistencia,3913,6,NEGATIVE,3152,80.6,"NEGATIVE: 3,152; Penicilinas: 621; Quinolonas: 315; Cefalosporinas 3/4 gen: 235",Pipeline target after mapping raw resistance phenotypes to antibiotic families; multilabel rows are counted once for each family present.
Resistance,Cephalosporin yes/no,resistente_cefalosporina,3913,2,NEGATIVE,3678,94.0,"NEGATIVE: 3,678; RESIST_CEFALOSPORINAS_3a_4a: 235",Final binary target: any cephalosporin 3a/4a resistance versus negative.
