domain,target_version,target_column,samples,classes,majority_class,majority_class_count,majority_class_percent,top_classes,notes
Etiology,Microorganism target,resultado_hemo_mo,3913,110,NEGATIVE,2067,52.8,"NEGATIVE: 2,067; Escherichia coli: 836; Klebsiella pneumoniae: 201; Staphylococcus aureus: 168",Hemoculture microorganism target after clinician coinfection resolution.
Etiology,Clinical organism grouping,resultado_hemo,3913,10,NEGATIVE,2072,53.0,"NEGATIVE: 2,072; Escherichia coli: 850; Klebsiella pneumoniae: 210; _Other bacteria: 198",Configured clinical organism grouping from the preprocessing pipeline.
Etiology,Gram grouped,resultado_hemo_grouped,3913,3,NEGATIVE,2277,58.2,"NEGATIVE: 2,277; Bacilo gram-: 1,320; Coco gram+: 316","Pipeline target grouped into negative, Gram-negative bacillus, and Gram-positive coccus."
Resistance,Individual phenotype combinations,fenotipo_resistencia_individual,3913,75,NEGATIVE,3152,80.6,"NEGATIVE: 3,152; Bacilo Gram negativo resistente a amoxicilina/clavulánico: 153; Coco Gram positivo resistente a ampicilina o penicilina: 98; Bacilo Gram negativo resistente a ciprofloxacino: 67",Individual resistance phenotype labels before antibiotic-family grouping.
Resistance,Antibiotic family combinations,fenotipo_resistencia,3913,24,NEGATIVE,3152,80.6,"NEGATIVE: 3,152; Penicilinas: 377; Cefalosporinas 3 gen + Cefalosporinas 4 gen + Penicilinas + Quinolonas: 88; Penicilinas + Quinolonas: 75",Pipeline target after mapping raw resistance phenotypes to antibiotic families.
Resistance,Cephalosporin yes/no,resistente_cefalosporina,3913,2,NEGATIVE,3678,94.0,"NEGATIVE: 3,678; RESIST_CEFALOSPORINAS_3a_4a: 235",Final binary target: any cephalosporin 3a/4a resistance versus negative.
