domain,target_version,target_column,class,samples,percent
Etiology,Microorganism target,resultado_hemo_mo,Corynebacterium striatum,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,género Elizabethkingia,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus sanguinis,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Parvimonas micra,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus equi,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Micrococcus luteus,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus beta - hemolítico,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Bacteroides thetaiotaomicron,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Peptoniphilus harei,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Citrobacter youngae,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Eggerthella lenta,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus pyogenes,2,0.1
Etiology,Microorganism target,resultado_hemo_mo,género Micrococcus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Pseudomonas stutzeri,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus constellatus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Pseudomonas fluorescens,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Staphylococcus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Corynebacterium jeikeium,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Prevotella denticola,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Bacteroides,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Proteus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Schaalia odontolytica,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Enterobacter asburiae,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Bacillus thuringiensis,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Morganella,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Enterococcus durans,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus lutetiensis,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,"Staphylococcus, coagulasa negativo",1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Capnocytophaga canimorsus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Citrobacter farmeri,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Klebsiella variicola,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Corynebacterium mucifaciens,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Bacillus cereus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Neisseria meningitidis,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Acinetobacter haemolyticus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Facklamia languida,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Brevibacillus agri,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,familia Enterobacteriaceae,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Thomasclavelia ramosa,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Aerococcus urinae,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Moraxella osloensis,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Clostridium paraputrificum,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Brachybacterium muris,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Streptococcus equinus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,cocobacilo anaeróbico grampositivo,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Peptoniphilus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Odoribacter splanchnicus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Roseomonas mucosa,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Acinetobacter pittii,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Campylobacter fetus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Campylobacter jejuni,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Staphylococcus saprophyticus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Pasteurella multocida,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Vibrio parahaemolyticus,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,género Enterobacter,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Enterococcus avium,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Abiotrophia defectiva,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Enterococcus gallinarum,1,0.0
Etiology,Microorganism target,resultado_hemo_mo,Anaerococcus vaginalis,1,0.0
