model,target_column,samples,classes,majority_class,majority_class_percent,exclusions_or_grouping
Sepsis,sepsis,6440,2,0,69.3,Binary sepsis flag from signos_sintomas aggregated at admission level.
Mortality 30 days,mortalidad_30_dias,4805,2,0.0,78.1,Admission-level 30-day mortality when available.
Resistance mechanism,resistance_mechanism_target,6440,6,NEGATIVE,87.7,Coarse resistance mechanism label from episodio_infeccion.fenotipo_resistencia.
Cephalosporin resistance,resistente_cefalosporina,6440,2,NEGATIVE,82.6,Derived from resistant antibiogram rows mapped to antimicrobial families.
